circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
NALGONDA,DEVARAKONDA,NAMPALLY,MARRIGUDA,VATTIPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,32.0,0.75
NALGONDA,MIRYALGUDA,HALIA,HALIYA,DOKKALABAITANDA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,2.0,3.75
NALGONDA,DEVARAKONDA,NAMPALLY,MARRIGUDA,YARAGANDLA PALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,3,2.0,173.0,3.2
NALGONDA,DEVARAKONDA,NAMPALLY,NAMPALLY,DAMERA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,63.0,0.75
NALGONDA,DEVARAKONDA,NAMPALLY,NAMPALLY,DEVATHPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,53.0,1.5
NALGONDA,DEVARAKONDA,NAMPALLY,NAMPALLY,HYDALAPUR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,2.0,193.0,3.75
NALGONDA,MIRYALGUDA,HALIA,HALIYA,MALGIREDDYGUDEM,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,3.75
NALGONDA,DEVARAKONDA,NAMPALLY,NAMPALLY,MALLAPARAJPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,3,3.0,226.0,2.25
NALGONDA,DEVARAKONDA,NAMPALLY,NAMPALLY,MEDLAVAI,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,73.0,2.25
NALGONDA,DEVARAKONDA,NAMPALLY,NAMPALLY,MUSTIPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,1.5
NALGONDA,DEVARAKONDA,NAMPALLY,NAMPALLY,NAMPALLY (HQ),COTTAGE INDUSTRIES AND DHOBIGHATS,4,9,7.0,288.0,6.17
NALGONDA,DEVARAKONDA,NAMPALLY,NAMPALLY,NERALLAPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,28.0,4.5
NALGONDA,DEVARAKONDA,NAMPALLY,NAMPALLY,PASNOOR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,2.0,139.0,0.85
NALGONDA,DEVARAKONDA,NAMPALLY,NAMPALLY,S.LINGOTAM,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,2.25
NALGONDA,NALGONDA,MUNUGODU,CHANDUR,ANGADIPETA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,3,1.0,54.0,5.25
NALGONDA,NALGONDA,MUNUGODU,CHANDUR,CHANDUR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,29,26.0,3858.0,78.87
NALGONDA,NALGONDA,MUNUGODU,CHANDUR,GATTUPPAL,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,1.0,424.0,4.5
NALGONDA,NALGONDA,MUNUGODU,CHANDUR,IDIKUDA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,3.0
NALGONDA,NALGONDA,MUNUGODU,CHANDUR,KASTHALA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,4,,0.0,9.0
NALGONDA,NALGONDA,MUNUGODU,CHANDUR,PULLEMLA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,31.0,2.25
NALGONDA,NALGONDA,MUNUGODU,CHANDUR,SIRDEPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,2.0,41.0,0.56
NALGONDA,NALGONDA,MUNUGODU,CHANDUR,THERATPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,4,1.0,6.0,12.0
NALGONDA,NALGONDA,MUNUGODU,MUNUGODU,CHEEKATIMAMIDI,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,1.0,26.0,5.27
NALGONDA,NALGONDA,MUNUGODU,MUNUGODU,GUDAPUR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,2.0,56.0,3.75
NALGONDA,NALGONDA,MUNUGODU,MUNUGODU,JAMASTANPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,1.0,8.0,0.75
NALGONDA,NALGONDA,MUNUGODU,MUNUGODU,KISTAPUR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,5,5.0,78.0,11.33
NALGONDA,NALGONDA,MUNUGODU,MUNUGODU,KOMPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,2.0,106.0,5.27
NALGONDA,NALGONDA,MUNUGODU,MUNUGODU,KORATICAL,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,46.0,4.02
NALGONDA,NALGONDA,MUNUGODU,MUNUGODU,MUNUGODU,COTTAGE INDUSTRIES AND DHOBIGHATS,4,14,13.0,2447.0,46.5
NALGONDA,NALGONDA,MUNUGODU,MUNUGODU,PALIVELA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,5,5.0,156.0,14.63
NALGONDA,NALGONDA,MUNUGODU,MUNUGODU,PULIPALUPULA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,5,5.0,281.0,5.25
NALGONDA,NALGONDA,MUNUGODU,MUNUGODU,UKONDI,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,53.0,1.5
NALGONDA,NALGONDA,MUNUGODU,MUNUGODU,VELMAKANNE,COTTAGE INDUSTRIES AND DHOBIGHATS,4,4,,0.0,5.55
NALGONDA,NALGONDA,NAKREKAL,KATTANGUR,AITIPAMULA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,23,16.0,4833.0,71.25
NALGONDA,NALGONDA,NAKREKAL,KATTANGUR,BOLLAPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,25,16.0,3227.0,65.25
NALGONDA,NALGONDA,NAKREKAL,KATTANGUR,CH ANNARAM,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,2.25
NALGONDA,NALGONDA,NAKREKAL,KATTANGUR,DUGNAVELLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,15,4.0,611.0,47.25
NALGONDA,NALGONDA,NAKREKAL,KATTANGUR,DUGUNEVELLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,57.0,0.2
NALGONDA,NALGONDA,NAKREKAL,KATTANGUR,EARASANIGUDA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,3,1.0,0.0,3.0
NALGONDA,NALGONDA,NAKREKAL,KATTANGUR,EDULUR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,97,39.0,6159.0,335.25
NALGONDA,NALGONDA,NAKREKAL,KATTANGUR,ISMAILPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,1145.0,2.25
NALGONDA,NALGONDA,NAKREKAL,KATTANGUR,KALIMERA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,7,1.0,0.0,12.75
NALGONDA,NALGONDA,NAKREKAL,KATTANGUR,KATTANGUR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,40,37.0,4845.0,129.38
NALGONDA,NALGONDA,NAKREKAL,KATTANGUR,MALLARAM,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,165.0,1.5
NALGONDA,NALGONDA,NAKREKAL,KATTANGUR,MUNUKUNTLA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,2.25
NALGONDA,NALGONDA,NAKREKAL,KATTANGUR,PAMANGUNDLA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,1.0,52.0,2.63
NALGONDA,NALGONDA,NAKREKAL,KATTANGUR,PARADA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,22,1.0,60.0,49.5
NALGONDA,NALGONDA,NAKREKAL,KATTANGUR,PITTAMPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,3,3.0,269.0,3.0
NALGONDA,NALGONDA,NAKREKAL,KETHAPALLI,BHEEMAVARAM,COTTAGE INDUSTRIES AND DHOBIGHATS,4,8,7.0,298.0,10.19
NALGONDA,NALGONDA,NAKREKAL,KETHAPALLI,BOPPARAM,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,15.0,2.25
NALGONDA,NALGONDA,NAKREKAL,KETHAPALLI,CHERUKUPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,2.0,89.0,0.11
NALGONDA,NALGONDA,NAKREKAL,KETHAPALLI,GUDIWADA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,,0.0,3.75
NALGONDA,NALGONDA,NAKREKAL,KETHAPALLI,INUPAMULA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,6,6.0,281.0,8.46
NALGONDA,NALGONDA,NAKREKAL,KETHAPALLI,KATHEPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,12,12.0,1081.0,30.21
NALGONDA,NALGONDA,NAKREKAL,KETHAPALLI,KORLAPADU,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,2.0,0.0,5.25
NALGONDA,DEVARAKONDA,NAMPALLY,CHINTHAPALLI,GODIKONDLA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,2.25
NALGONDA,NALGONDA,NAKREKAL,KETHAPALLI,KOTHAPET,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,36.0,1.5
NALGONDA,NALGONDA,NAKREKAL,KETHAPALLI,TUNGATURTY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,54.0,4.88
NALGONDA,NALGONDA,NAKREKAL,KETHAPALLI,UPPALAPAHAD,COTTAGE INDUSTRIES AND DHOBIGHATS,4,3,1.0,101.0,3.75
NALGONDA,NALGONDA,NAKREKAL,NAKREKAL,CHANDAMPALLY B,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,1.13
NALGONDA,NALGONDA,NAKREKAL,NAKREKAL,CHANDUPATLA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,2.25
NALGONDA,NALGONDA,NAKREKAL,NAKREKAL,KADAPARTHY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,4,,0.0,11.55
NALGONDA,NALGONDA,NAKREKAL,NAKREKAL,MANGALAPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,2.0,460.0,5.25
NALGONDA,NALGONDA,NAKREKAL,NAKREKAL,MARRUR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,12,3.0,90.0,25.13
NALGONDA,NALGONDA,NAKREKAL,NAKREKAL,NAKREKAL TOWN,COTTAGE INDUSTRIES AND DHOBIGHATS,4,4,,0.0,9.38
NALGONDA,NALGONDA,NAKREKAL,NAKREKAL,NAKREKAL TOWN A,COTTAGE INDUSTRIES AND DHOBIGHATS,4,18,16.0,2132.0,47.29
NALGONDA,NALGONDA,NAKREKAL,NAKREKAL,NAKREKAL TOWN B,COTTAGE INDUSTRIES AND DHOBIGHATS,4,64,60.0,14734.0,210.0
NALGONDA,NALGONDA,NAKREKAL,NAKREKAL,NAKREKAL TOWN C,COTTAGE INDUSTRIES AND DHOBIGHATS,4,120,116.0,22282.0,413.48
NALGONDA,NALGONDA,NAKREKAL,NAKREKAL,NAKREKAL TOWN D,COTTAGE INDUSTRIES AND DHOBIGHATS,4,54,53.0,10656.0,171.38
NALGONDA,NALGONDA,NAKREKAL,NAKREKAL,NELLI BANDA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,641.0,2.25
NALGONDA,NALGONDA,NAKREKAL,NAKREKAL,NOMULA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,5,1.0,23.0,7.13
NALGONDA,DEVARAKONDA,NAMPALLY,GURRAMPODU,AREGUDEM,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,84.0,2.25
NALGONDA,DEVARAKONDA,NAMPALLY,GURRAMPODU,GURRAMPODE(HQ),COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,2.0,788.0,4.02
NALGONDA,NALGONDA,NAKREKAL,NAKREKAL,THATIKAL,COTTAGE INDUSTRIES AND DHOBIGHATS,4,4,4.0,382.0,5.25
