District,Mandal,Date,Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Gadiguda,2024-04-30,0.0,11.4
Adilabad,Gudihathnur,2024-04-01,0.0,9.7
Adilabad,Gudihathnur,2024-04-02,0.0,7.6
Adilabad,Gudihathnur,2024-04-03,0.0,5.1
Adilabad,Gudihathnur,2024-04-04,0.3,7.6
Adilabad,Gudihathnur,2024-04-05,0.0,10.7
Adilabad,Gudihathnur,2024-04-06,0.0,9.0
Adilabad,Gudihathnur,2024-04-07,0.0,5.5
Adilabad,Gudihathnur,2024-04-08,0.3,9.4
Adilabad,Gudihathnur,2024-04-09,0.0,10.7
Adilabad,Gudihathnur,2024-04-10,0.0,12.0
Adilabad,Gudihathnur,2024-04-11,0.0,13.6
Adilabad,Gudihathnur,2024-04-12,0.0,8.8
Adilabad,Gudihathnur,2024-04-13,0.0,8.8
Adilabad,Gudihathnur,2024-04-14,0.0,8.2
Adilabad,Gudihathnur,2024-04-15,0.0,5.5
Adilabad,Gudihathnur,2024-04-16,0.0,5.7
Adilabad,Gudihathnur,2024-04-17,0.0,8.6
Adilabad,Gudihathnur,2024-04-18,0.0,6.8
Adilabad,Gudihathnur,2024-04-19,0.0,10.5
Adilabad,Gudihathnur,2024-04-20,0.0,10.1
Adilabad,Gudihathnur,2024-04-21,0.0,9.8
Adilabad,Gudihathnur,2024-04-22,0.0,12.3
Adilabad,Gudihathnur,2024-04-23,0.0,10.1
Adilabad,Gudihathnur,2024-04-24,0.0,11.2
Adilabad,Gudihathnur,2024-04-25,0.0,7.7
Adilabad,Gudihathnur,2024-04-26,0.0,5.8
Adilabad,Gudihathnur,2024-04-27,0.0,8.9
Adilabad,Gudihathnur,2024-04-28,0.0,8.6
Adilabad,Gudihathnur,2024-04-29,0.0,5.6
Adilabad,Gudihathnur,2024-04-30,0.0,5.9
Adilabad,Ichoda,2024-04-01,0.0,13.3
Adilabad,Ichoda,2024-04-02,0.0,9.2
Adilabad,Ichoda,2024-04-03,0.0,5.4
Adilabad,Ichoda,2024-04-04,0.3,5.2
Adilabad,Ichoda,2024-04-05,0.0,11.1
Adilabad,Ichoda,2024-04-06,0.0,8.4
Adilabad,Ichoda,2024-04-07,0.0,4.6
Adilabad,Ichoda,2024-04-08,0.3,4.6
Adilabad,Ichoda,2024-04-09,0.0,6.3
Adilabad,Ichoda,2024-04-10,0.0,4.4
Adilabad,Ichoda,2024-04-11,0.0,8.0
Adilabad,Ichoda,2024-04-12,0.0,3.1
Adilabad,Ichoda,2024-04-13,0.0,3.7
Adilabad,Ichoda,2024-04-14,0.0,6.3
