District,Mandal,Date,Min Wind Speed (Kmph),Max Wind Speed (Kmph),Min Wind Speed (Kmph)_outlier_flag,Max Wind Speed (Kmph)_outlier_flag
Jangaon,Bachannapeta,2024-04-04,0.0,7.2,False,False
Jangaon,Bachannapeta,2024-04-05,0.0,12.2,False,False
Jangaon,Bachannapeta,2024-04-06,0.0,10.4,False,False
Jangaon,Bachannapeta,2024-04-07,0.0,10.7,False,False
Jangaon,Bachannapeta,2024-04-08,0.1,11.4,True,False
Jangaon,Bachannapeta,2024-04-09,2.3,14.6,True,False
Jangaon,Bachannapeta,2024-04-10,1.3,12.0,True,False
Jangaon,Bachannapeta,2024-04-11,1.4,13.2,True,False
Jangaon,Bachannapeta,2024-04-12,1.3,8.8,True,False
Jangaon,Bachannapeta,2024-04-13,0.1,12.9,True,False
Jangaon,Bachannapeta,2024-04-14,0.1,9.8,True,False
Jangaon,Bachannapeta,2024-04-15,1.9,11.4,True,False
Jangaon,Bachannapeta,2024-04-16,0.0,10.0,False,False
Jangaon,Bachannapeta,2024-04-17,0.2,6.1,True,False
Jangaon,Bachannapeta,2024-04-18,0.0,17.1,False,False
Jangaon,Bachannapeta,2024-04-19,0.0,4.8,False,False
Jangaon,Bachannapeta,2024-04-20,0.0,8.6,False,False
Jangaon,Bachannapeta,2024-04-21,2.0,10.2,True,False
Jangaon,Bachannapeta,2024-04-22,0.0,18.6,False,False
Jangaon,Bachannapeta,2024-04-23,0.0,10.5,False,False
Jangaon,Bachannapeta,2024-04-24,3.4,9.9,True,False
Jangaon,Bachannapeta,2024-04-25,0.0,12.1,False,False
Jangaon,Bachannapeta,2024-04-26,0.0,9.4,False,False
Jangaon,Bachannapeta,2024-04-27,0.0,9.0,False,False
Jangaon,Bachannapeta,2024-04-28,0.0,6.0,False,False
Jangaon,Bachannapeta,2024-04-29,0.0,5.5,False,False
Jangaon,Bachannapeta,2024-04-30,0.0,9.1,False,False
Jangaon,Chilpur,2024-04-01,0.0,8.6,False,False
Jangaon,Chilpur,2024-04-02,0.0,12.0,False,False
Jangaon,Chilpur,2024-04-03,0.0,10.1,False,False
Jangaon,Chilpur,2024-04-04,0.0,14.3,False,False
Jangaon,Chilpur,2024-04-05,0.0,9.3,False,False
Jangaon,Chilpur,2024-04-06,0.0,8.7,False,False
Jangaon,Chilpur,2024-04-07,0.0,13.6,False,False
Jangaon,Chilpur,2024-04-08,0.0,10.8,False,False
Jangaon,Chilpur,2024-04-09,3.8,16.7,True,False
Jangaon,Chilpur,2024-04-10,0.0,15.2,False,False
Jangaon,Chilpur,2024-04-11,0.0,17.8,False,False
Jangaon,Chilpur,2024-04-12,0.0,12.9,False,False
Jangaon,Chilpur,2024-04-13,0.0,16.9,False,False
Jangaon,Chilpur,2024-04-14,0.0,11.4,False,False
Jangaon,Chilpur,2024-04-15,0.0,12.8,False,False
Jangaon,Chilpur,2024-04-16,0.0,8.0,False,False
